Fecha,SVIX_Arg,SVIX_USA,SVIX_Global,VIX_Mercado,Precio_BTC,Arg_Bancos,Arg_Energia,Arg_Regulados,USA_Tech,USA_Defensa,USA_Energia
2026-04-02,0,0,0,25.45,67349.07,45.67,45.19,31.07,583.76,221.81,59.12
2026-04-03,0,0,0,23.87,66719.36,46.2,45.22,30.56,584.98,221.91,59.25
2026-04-04,0,0,0,23.87,66932.8,46.2,45.22,30.56,584.98,221.91,59.25
2026-04-05,0,0,0,23.87,66809.27,46.2,45.22,30.56,584.98,221.91,59.25
2026-04-06,0,0,0,24.69,69151.97,46.2,45.22,30.56,584.98,221.91,59.25
2026-04-07,0,0,0,25.08,68655.41,46.21,43.88,31.14,588.5,225.2,59.68
2026-04-08,0,0,0,20.83,71608.82,45.31,44.17,30.5,588.59,223.3,60.16
2026-04-09,0,0,0,21.56,70966.95,47.57,43.48,31.32,606.09,232.17,58.05
2026-04-10,0,0,0,19.49,71584.41,47.93,42.69,29.59,610.19,231.76,57.33
2026-04-11,0,0,0,19.23,72711.03,48.12,42.95,28.84,611.07,229.64,56.94
2026-04-12,0,0,0,19.23,71746.84,48.12,42.95,28.84,611.07,229.64,56.94
2026-04-13,0,0,0,21.24,70706.47,48.12,42.95,28.84,611.07,229.64,56.94
2026-04-14,0,0,0,18.72,74560.4,48.85,43.51,28.3,617.39,232.81,57.11
2026-04-15,0,0,0,18.02,73892.01,49.14,42.11,26.97,628.6,235.43,55.95
2026-04-16,0,0,0,18.05,74662.32,49.38,41.54,27.56,637.4,234.0,55.76
2026-04-17,0,0,0,18.19,75128.82,49.01,41.87,27.64,640.47,229.03,56.58
2026-04-18,0,0,0,17.48,77155.07,47.9,40.59,26.99,648.85,231.94,55.02
2026-04-19,0,0,0,17.48,75268.04,47.9,40.59,26.99,648.85,231.94,55.02
2026-04-20,0,0,0,17.48,75042.17,47.9,40.59,26.99,648.85,231.94,55.02
2026-04-21,0,0,0,19.04,76505.83,47.99,40.98,28.32,646.79,231.85,55.07
2026-04-22,0,0,0,19.26,77982.97,47.8,43.12,27.43,644.33,223.09,55.87
2026-04-23,0,0,0,19.7,77584.08,46.2,43.15,26.34,655.11,219.15,56.54
2026-04-24,0,0,0,19.22,77610.02,43.47,43.31,25.23,651.42,219.11,56.98
2026-04-25,0,0,0,18.71,77563.29,43.17,42.94,25.33,663.88,215.8,56.87
2026-04-26,0,0,0,18.71,78130.46,43.17,42.94,25.33,663.88,215.8,56.87
2026-04-27,0,0,0,19.05,77815.11,43.17,42.94,25.33,663.88,215.8,56.87
2026-04-28,0,0,0,18.42,76561.14,43.07,43.0,24.92,664.23,216.04,56.77
2026-04-29,0,0,0,18.04,77748.22,43.59,43.39,25.22,657.55,216.21,57.71
2026-04-30,0,0,0,18.81,75599.65,42.72,44.81,25.3,661.57,213.14,59.03
2026-05-01,0,0,0,16.89,77118.08,41.34,45.16,25.05,667.74,218.56,59.65
2026-05-02,0,0,0,16.99,78153.48,40.15,43.38,23.75,674.15,216.27,58.85
2026-05-03,0,0,0,16.99,78234.85,40.15,43.38,23.75,674.15,216.27,58.85
2026-05-04,0,0,0,16.99,79943.29,40.15,43.38,23.75,674.15,216.27,58.85
2026-05-05,0,0,0,18.29,81167.99,40.41,44.43,24.33,672.88,214.33,59.39
2026-05-06,0,0,0,17.38,81245.21,40.67,43.97,24.46,681.61,215.37,59.45
2026-05-07,0,0,0,17.39,81044.29,43.44,43.26,25.75,695.77,223.42,57.0
2026-05-08,0,0,0,17.08,79601.85,43.24,42.8,24.46,694.94,222.51,55.95
2026-05-09,0,0,0,17.19,80450.0,41.96,42.37,23.37,711.23,223.49,55.7
2026-05-10,0,0,0,17.19,80724.15,41.96,42.37,23.37,711.23,223.49,55.7
2026-05-11,0,0,0,17.19,80938.39,41.96,42.37,23.37,711.23,223.49,55.7
2026-05-12,0,0,0,18.38,81237.8,43.54,44.93,24.47,713.29,225.99,57.17
2026-05-13,0,0,0,17.99,81032.73,42.19,44.95,24.16,707.24,225.39,57.57
2026-05-14,0,0,0,17.87,79847.58,41.79,43.53,23.15,714.71,225.71,57.63
2026-05-15,0,0,0,17.26,80531.06,41.85,44.17,23.5,719.79,224.46,58.07
2026-05-16,0,0,0,18.43,78970.01,40.79,43.66,22.43,708.93,217.27,59.44
2026-05-17,0,0,0,18.43,78081.13,40.79,43.66,22.43,708.93,217.27,59.44
2026-05-18,0,0,0,18.43,76844.94,40.79,43.66,22.43,708.93,217.27,59.44
2026-05-19,0,0,0,17.82,76983.65,42.3,47.48,23.91,705.88,220.23,60.58
2026-05-20,0,0,0,18.06,77220.75,39.95,47.96,23.39,701.53,218.32,61.29
2026-05-21,0,0,0,17.44,77491.96,42.02,47.07,24.35,713.15,223.28,59.8
2026-05-22,0,0,0,16.76,77407.92,44.01,47.94,25.0,714.51,223.15,59.13
2026-05-23,0,0,0,16.7,75393.51,43.55,47.99,24.1,717.54,225.37,59.49
2026-05-24,0,0,0,16.7,76658.13,43.55,47.99,24.1,717.54,225.37,59.49
2026-05-25,0,0,0,16.7,77261.73,43.55,47.99,24.1,717.54,225.37,59.49
2026-05-26,0,0,0,16.59,76898.21,43.55,47.99,24.1,717.54,225.37,59.49
2026-05-27,0,0,0,17.01,75739.37,45.91,48.6,24.67,730.28,229.49,57.85
2026-05-28,0,0,0,16.29,73013.3,48.18,51.59,26.5,729.45,230.48,56.99
2026-05-29,0,0,0,15.74,73677.41,48.83,52.0,26.74,735.6,235.57,56.95
2026-05-30,0,0,0,15.32,73490.89,50.69,53.01,27.64,738.31,235.44,56.29
2026-05-31,0,0,0,15.32,73947.36,50.69,53.01,27.64,738.31,235.44,56.29
2026-06-01,0,0,0,15.94,72595.23,50.69,53.01,27.64,738.31,235.44,56.29
2026-06-02,0,0,0,16.05,70020.97,51.16,54.74,28.16,742.74,229.91,57.3
2026-06-03,0,0,0,16.09,67007.21,50.33,55.31,27.47,746.16,228.33,57.96
2026-06-04,0,0,0,16.06,63502.92,48.33,54.9,26.72,744.21,224.89,58.71
2026-06-05,0,0,0,15.4,61520.62,48.62,55.12,26.67,740.61,231.57,58.75
2026-06-06,0,0,0,21.51,61010.03,47.81,53.5,25.76,705.06,229.45,57.67
2026-06-07,0,0,0,21.51,62125.01,47.81,53.5,25.76,705.06,229.45,57.67
2026-06-08,0,0,0,21.51,63174.75,47.81,53.5,25.76,705.06,229.45,57.67
2026-06-09,0,0,0,18.92,63341.02,48.04,53.54,25.88,716.07,227.26,58.33
2026-06-10,0,0,0,18.92,61462.93,,,,,,
2026-06-11,0,0,0,19.87,62677.55,,,,,,
2026-06-12,0,0,0,19.44,62977.07,55.41,56.35,28.37,717.12,236.04,57.12
2026-06-13,0,0,0,17.68,63678.8,55.16,55.89,27.56,721.34,233.79,57.55
2026-06-14,0,0,0,17.68,64293.81,55.16,55.89,27.56,721.34,233.79,57.55
2026-06-15,0,0,0,16.67,65744.04,55.16,55.89,27.56,721.34,233.79,57.55
2026-06-16,0,0,0,16.11,66543.43,,52.59,,744.0,,
2026-06-17,0,0,0,16.27,65284.42,54.44,51.24,27.41,729.86,239.52,55.36
2026-06-18,0,0,0,17.09,64381.39,55.55,50.85,27.4,722.51,242.79,54.67
2026-06-19,0,0,0,16.89,62613.32,56.37,50.45,27.86,740.62,238.99,53.77
2026-06-20,0,0,0,16.4,63679.79,56.37,50.45,27.86,740.62,238.99,53.77
2026-06-21,0,0,0,16.4,64100.01,56.37,50.45,,740.62,,53.77
2026-06-22,0,0,0,17.59,64068.0,56.37,50.45,27.86,740.62,238.99,53.77
2026-06-23,0,0,0,17.28,62870.2,53.33,49.47,26.63,737.95,235.51,54.06
2026-06-24,0,0,0,19.49,62673.95,51.35,48.04,25.45,713.65,235.93,54.46
2026-06-25,0,0,0,18.63,61660.81,49.1,45.62,24.03,710.62,236.19,53.57
2026-06-26,0,0,0,18.89,60184.62,49.42,45.76,24.49,716.38,237.38,54.09
2026-06-27,0,0,0,18.89,60131.64,,,,,,
2026-06-28,0,0,0,18.41,59929.86,49.97,45.33,,706.52,,53.84
2026-06-29,0,0,0,18.41,59961.91,49.97,45.33,24.49,706.52,236.78,53.84
2026-06-30,0,0,0,17.65,59454.84,50.9,45.25,25.69,724.08,239.13,53.58
2026-07-01,0,0,0,16.45,58577.47,50.03,45.47,24.96,736.4,242.42,53.11
2026-07-02,0,0,0,16.59,60493.73,49.05,44.96,24.47,725.17,243.86,52.81
2026-07-03,0,0,0,16.15,61638.16,50.37,44.4,24.28,712.6,248.19,53.22
2026-07-04,0,0,0,16.15,62379.72,50.37,44.4,24.28,712.6,248.19,53.22
2026-07-05,0,0,0,16.15,62708.47,50.37,44.4,24.28,712.6,248.19,53.22
2026-07-06,0,0,0,16.15,62851.4,50.37,44.4,24.28,712.6,248.19,53.22
2026-07-07,0,0,0,15.57,63205.68,53.02,46.12,25.38,722.82,250.78,53.13
2026-07-08,0,0,0,16.13,62536.02,51.1,47.13,24.55,709.43,245.11,54.64
2026-07-09,0,0,0,16.9,62722.22,50.25,47.9,24.68,711.44,239.63,55.6
2026-07-10,0,0,0,15.84,63870.47,49.39,47.04,24.5,723.28,239.62,54.82
2026-07-11,0,0,0,15.03,64170.42,53.73,47.58,25.42,725.51,239.06,55.08
2026-07-12,0,0,0,15.03,63933.7,53.73,47.58,25.42,725.51,239.06,55.08
2026-07-13,0,0,0,15.03,63802.03,53.73,47.58,25.42,725.51,239.06,55.08
2026-07-14,0,0,0,17.16,62798.15,51.41,49.5,24.58,711.74,235.05,56.74
2026-07-15,0,0,0,17.16,64624.47,,,,,,
2026-07-16,0,0,0,15.67,64864.47,52.67,50.26,25.89,717.74,236.42,56.5
2026-07-17,0,0,0,16.73,63055.77,50.18,48.45,24.89,705.94,230.89,57.02
2026-07-18,0,0,0,18.77,63920.4,49.94,49.68,24.59,695.33,230.73,57.68
2026-07-19,0,0,0,18.77,64676.17,49.94,49.68,24.59,695.33,230.73,57.68
2026-07-20,0,0,0,18.77,64129.52,49.94,49.68,24.59,695.33,230.73,57.68
2026-07-21,0,0,0,18.65,65650.58,49.95,50.44,25.1,696.06,229.27,57.94
2026-07-22,0,0,0,17.05,65986.21,50.94,51.33,26.55,708.97,229.74,58.5
2026-07-23,0,0,0,16.64,65624.54,53.24,52.51,27.27,705.35,231.11,59.2
2026-07-24,0,0,0,18.7,65272.46,50.15,51.92,26.59,691.96,238.23,59.38
2026-07-25,0,0,0,18.7,63967.68,,,,,,
2026-07-26,0,0,0,18.58,64361.15,49.3,51.4,25.71,684.23,240.14,59.62
2026-07-27,0,0,0,18.7,65466.82,49.3,,25.71,,240.14,59.62
